Word,stimulus,string,same,version_with_order,ambiguity_type,log_rt,correct_response
act,It was a comedic act.<p>,act,False,M1_a_M2_b,Polysemy,6.894743613888888,1.0
act,It was a comedic act.<p>,act,False,M1_b_M2_b,Polysemy,6.6683558455,1.0
act,It was a comedic act.<p>,act,True,M2_a_M2_b,Polysemy,6.716878318333333,1.0
act,It was a desperate act.<p>,act,False,M2_a_M1_a,Polysemy,7.0434343012500005,1.0
act,It was a desperate act.<p>,act,False,M2_b_M1_a,Polysemy,6.96708359425,1.0
act,It was a desperate act.<p>,act,True,M1_b_M1_a,Polysemy,6.698747878545455,1.0
act,It was a humane act.<p>,act,False,M2_a_M1_b,Polysemy,6.813191494571428,1.0
act,It was a humane act.<p>,act,False,M2_b_M1_b,Polysemy,6.8958286055454545,1.0
act,It was a humane act.<p>,act,True,M1_a_M1_b,Polysemy,6.7081649089,1.0
act,It was a magic act.<p>,act,False,M1_a_M2_a,Polysemy,7.0350431828,0.8
act,It was a magic act.<p>,act,False,M1_b_M2_a,Polysemy,7.001229776625,1.0
act,It was a magic act.<p>,act,True,M2_b_M2_a,Polysemy,6.844029553333333,1.0
appeal,He had a legal appeal.<p>,appeal,False,M1_a_M2_a,Polysemy,7.058270307444444,0.7777777777777778
appeal,He had a legal appeal.<p>,appeal,False,M1_b_M2_a,Polysemy,7.361823996,0.75
appeal,He had a legal appeal.<p>,appeal,True,M2_b_M2_a,Polysemy,6.8772708595,1.0
appeal,He had a pending appeal.<p>,appeal,False,M1_a_M2_b,Polysemy,7.210015377222222,0.5555555555555556
appeal,He had a pending appeal.<p>,appeal,False,M1_b_M2_b,Polysemy,7.633525079857143,0.2857142857142857
appeal,He had a pending appeal.<p>,appeal,True,M2_a_M2_b,Polysemy,7.132068645833333,0.9166666666666666
appeal,He had a universal appeal.<p>,appeal,False,M2_a_M1_a,Polysemy,7.112824615,0.8333333333333334
appeal,He had a universal appeal.<p>,appeal,False,M2_b_M1_a,Polysemy,6.937606359888889,0.7777777777777778
appeal,He had a universal appeal.<p>,appeal,True,M1_b_M1_a,Polysemy,7.039322800636364,0.8181818181818182
appeal,He had an undefinable appeal.<p>,appeal,False,M2_a_M1_b,Polysemy,7.557337511857143,0.8571428571428571
appeal,He had an undefinable appeal.<p>,appeal,False,M2_b_M1_b,Polysemy,7.2152692435,0.75
appeal,He had an undefinable appeal.<p>,appeal,True,M1_a_M1_b,Polysemy,7.368484435,0.5714285714285714
atmosphere,It was a gaseous atmosphere.<p>,atmosphere,False,M1_a_M2_a,Polysemy,7.276668928428571,0.5714285714285714
atmosphere,It was a gaseous atmosphere.<p>,atmosphere,False,M1_b_M2_a,Polysemy,7.23871953075,1.0
atmosphere,It was a gaseous atmosphere.<p>,atmosphere,True,M2_b_M2_a,Polysemy,6.9637577467,0.9
atmosphere,It was a hostile atmosphere.<p>,atmosphere,False,M2_a_M1_b,Polysemy,7.2500672258888885,1.0
atmosphere,It was a hostile atmosphere.<p>,atmosphere,False,M2_b_M1_b,Polysemy,6.8922500275,1.0
atmosphere,It was a hostile atmosphere.<p>,atmosphere,True,M1_a_M1_b,Polysemy,6.762139992428572,1.0
atmosphere,It was a polluted atmosphere.<p>,atmosphere,False,M1_a_M2_b,Polysemy,7.005941529499999,0.7
atmosphere,It was a polluted atmosphere.<p>,atmosphere,False,M1_b_M2_b,Polysemy,6.902506209444444,0.8888888888888888
atmosphere,It was a polluted atmosphere.<p>,atmosphere,True,M2_a_M2_b,Polysemy,6.840011413428571,0.8571428571428571
atmosphere,It was a tense atmosphere.<p>,atmosphere,False,M2_a_M1_a,Polysemy,6.991745863571429,0.8571428571428571
atmosphere,It was a tense atmosphere.<p>,atmosphere,False,M2_b_M1_a,Polysemy,7.1050413992,1.0
atmosphere,It was a tense atmosphere.<p>,atmosphere,True,M1_b_M1_a,Polysemy,6.876987434666667,1.0
bail,He bailed out the defendant.<p>,bailed,False,M2_a_M1_b,Homonymy,7.172189723444443,0.8888888888888888
bail,He bailed out the defendant.<p>,bailed,False,M2_b_M1_b,Homonymy,6.957474906375,0.875
bail,He bailed out the defendant.<p>,bailed,True,M1_a_M1_b,Homonymy,7.14229351,0.6
bail,He bailed out the liquid.<p>,bailed,False,M1_a_M2_b,Homonymy,7.049390684333333,0.0
bail,He bailed out the liquid.<p>,bailed,False,M1_b_M2_b,Homonymy,7.292205218833334,0.0
bail,He bailed out the liquid.<p>,bailed,True,M2_a_M2_b,Homonymy,6.888240286888889,0.1111111111111111
bail,He bailed out the prisoner.<p>,bailed,False,M2_a_M1_a,Homonymy,7.190136677000001,1.0
bail,He bailed out the prisoner.<p>,bailed,False,M2_b_M1_a,Homonymy,7.0771645755999995,1.0
bail,He bailed out the prisoner.<p>,bailed,True,M1_b_M1_a,Homonymy,7.347700153,1.0
bail,He bailed out the water.<p>,bailed,False,M1_a_M2_a,Homonymy,6.900818365499999,0.1
bail,He bailed out the water.<p>,bailed,False,M1_b_M2_a,Homonymy,7.1288305028,0.0
bail,He bailed out the water.<p>,bailed,True,M2_b_M2_a,Homonymy,7.211058814625,0.625
band,It was a country band.<p>,band,False,M1_a_M2_b,Homonymy,6.876727150066667,1.0
band,It was a country band.<p>,band,False,M1_b_M2_b,Homonymy,6.844201969923077,0.8461538461538461
band,It was a country band.<p>,band,True,M2_a_M2_b,Homonymy,7.015037442777778,0.8888888888888888
